epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,689.16,1.84694,3.34557,2.16741,0.07229,0.19837,0.06433,0.01726,2.47584,3.83825,3.05745,0.000225,0.000225,0.000225
2,1789.94,1.67181,2.86383,1.94384,0.10443,0.43595,0.07129,0.02764,2.28302,32.0695,4.2899,0.000457921,0.000457921,0.000457921
3,3462.6,1.79704,2.85848,2.06011,0.00158,0.26102,0.0011,0.00033,3.42737,5419.94,26.0626,0.00068614,0.00068614,0.00068614
4,4880.06,1.80708,2.77289,2.06085,0.00031,0.03889,0.00018,4e-05,3.40233,4069.54,6.09776,0.000909656,0.000909656,0.000909656
5,6291.41,1.7979,2.83593,2.09826,0.00029,0.04106,0.00014,3e-05,4.80752,9641.08,46.0941,0.00112847,0.00112847,0.00112847
6,8064.08,1.80619,2.80971,2.10478,0,0,0,0,4.65388,80807.5,19.8873,0.00118812,0.00118812,0.00118812
7,9889.34,1.77114,2.6824,2.02717,0.02242,0.15207,0.01034,0.00138,3.1012,7951.83,18.1181,0.00117575,0.00117575,0.00117575
8,12424.8,1.81266,2.7258,2.07148,0.01353,0.34464,0.01403,0.00364,2.76135,558.643,11.5171,0.00116337,0.00116337,0.00116337
9,16564,1.82185,2.74108,2.05048,0.01399,0.03784,0.00304,0.00084,4.3226,18.0742,5.69038,0.001151,0.001151,0.001151
10,20550.4,1.78659,2.67124,2.04706,0.0055,0.24477,0.00357,0.00108,2.78417,237.665,3.67654,0.00113863,0.00113863,0.00113863
11,24575.8,1.76144,2.60837,2.02151,0.01451,0.24058,0.00969,0.0032,2.14227,25.2055,2.82649,0.00112625,0.00112625,0.00112625
12,28613.9,1.74694,2.58564,2.00032,0.38456,0.15571,0.11706,0.04196,2.09583,3.13667,2.75181,0.00111388,0.00111388,0.00111388
13,32630.3,1.76093,2.58604,2.00257,0.29172,0.09377,0.03338,0.01148,2.62221,4.07177,3.19164,0.0011015,0.0011015,0.0011015
14,36821.8,1.72673,2.49717,1.97633,0.29488,0.04974,0.01472,0.00374,3.13721,5.51866,3.65189,0.00108913,0.00108913,0.00108913
15,40264.1,1.63338,2.40924,1.89841,0.44801,0.20328,0.162,0.07352,1.96345,2.73689,2.63622,0.00107675,0.00107675,0.00107675
16,41320.1,1.71815,2.45952,1.96012,0.12242,0.38061,0.14324,0.06134,1.87928,3.00509,2.51385,0.00106437,0.00106437,0.00106437
17,42270.3,1.64146,2.39393,1.92411,0.1601,0.25556,0.14318,0.0453,2.00169,3.71684,2.5657,0.001052,0.001052,0.001052
18,43257.8,1.66229,2.37302,1.92774,0.08937,0.3733,0.10092,0.0327,2.03778,3.84713,2.59811,0.00103962,0.00103962,0.00103962
19,44288.9,1.63899,2.34831,1.91373,0.21823,0.37297,0.20055,0.08723,2.06153,2.51563,2.64895,0.00102725,0.00102725,0.00102725
20,45281.6,1.62146,2.31523,1.89005,0.20631,0.40515,0.22329,0.08358,2.08219,2.39071,2.6386,0.00101488,0.00101488,0.00101488
21,46270,1.63212,2.31324,1.88979,0.21996,0.37653,0.22291,0.10323,1.88932,2.30319,2.4088,0.0010025,0.0010025,0.0010025
22,47264.7,1.59773,2.22236,1.85259,0.19208,0.38296,0.22691,0.09269,1.86644,2.6086,2.4107,0.000990125,0.000990125,0.000990125
23,48246.7,1.57545,2.21417,1.84747,0.16616,0.37323,0.19624,0.09391,1.80055,2.5458,2.37436,0.00097775,0.00097775,0.00097775
24,49282,1.56946,2.25601,1.86104,0.18885,0.43299,0.22822,0.10162,1.91114,2.81489,2.40381,0.000965375,0.000965375,0.000965375
25,50292.6,1.57379,2.18356,1.86203,0.27585,0.37957,0.28171,0.13038,1.81055,2.30293,2.35631,0.000953,0.000953,0.000953
26,51751.4,1.56104,2.20544,1.83249,0.47554,0.18138,0.1766,0.07743,1.80354,3.05959,2.44187,0.000940625,0.000940625,0.000940625
