epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1518.56,1.84694,3.34557,2.16741,0.07229,0.19837,0.06433,0.01726,2.47584,3.83825,3.05745,0.000225,0.000225,0.000225
2,3071.5,1.67181,2.86383,1.94384,0.10443,0.43595,0.07129,0.02764,2.28302,32.0695,4.2899,0.000457921,0.000457921,0.000457921
3,4628.39,1.79704,2.85848,2.06011,0.00158,0.26102,0.0011,0.00033,3.42737,5419.94,26.0626,0.00068614,0.00068614,0.00068614
4,5836.72,1.80708,2.77289,2.06085,0.00034,0.04444,0.00045,8e-05,3.40233,4069.54,6.09776,0.000909656,0.000909656,0.000909656
5,7983.14,1.7979,2.83593,2.09826,0.00029,0.04106,0.00014,3e-05,4.80752,9641.08,46.0941,0.00112847,0.00112847,0.00112847
6,9393.42,1.80805,2.81285,2.10716,0,0,0,0,4.65388,80807.5,19.8873,0.00118812,0.00118812,0.00118812
7,13884.6,1.80416,2.73351,2.04919,0.00512,0.19853,0.00333,0.00108,2.91621,102.048,4.19824,0.00117575,0.00117575,0.00117575
8,17684.1,1.78875,2.72719,2.06193,0.2559,0.0416,0.0028,0.00063,3.99934,36.2631,7.16926,0.00116337,0.00116337,0.00116337
9,21741.1,1.80499,2.69925,2.04604,0.28488,0.01775,0.00545,0.00185,3.9541,6.76423,4.56402,0.001151,0.001151,0.001151
10,25960.4,1.79987,2.69957,2.04915,0.07658,0.07334,0.03087,0.00851,2.64127,8.20176,3.41891,0.00113863,0.00113863,0.00113863
11,30130.7,1.7058,2.65835,2.01461,0.04423,0.22947,0.04829,0.01588,2.40778,3.65524,2.9967,0.00112625,0.00112625,0.00112625
12,34042.3,1.73017,2.63296,2.01959,0.11298,0.17115,0.07876,0.02946,1.91532,4.39511,2.64112,0.00111388,0.00111388,0.00111388
13,37899.8,1.76353,2.62059,2.02779,0.14318,0.13904,0.1142,0.04939,2.31382,3.58937,2.96555,0.0011015,0.0011015,0.0011015
14,39713.5,1.69198,2.53649,1.94968,0.11616,0.10706,0.0943,0.03141,2.09791,3.16151,2.72607,0.00108913,0.00108913,0.00108913
15,40692.6,1.61934,2.38549,1.89517,0.15667,0.29657,0.11395,0.05259,2.0622,4.51963,2.71769,0.00107675,0.00107675,0.00107675
16,41653.3,1.69809,2.48876,1.94894,0.21585,0.32163,0.16481,0.07039,1.96556,2.82429,2.67101,0.00106437,0.00106437,0.00106437
17,42643.2,1.64994,2.38538,1.925,0.11703,0.34171,0.14745,0.04534,2.15913,2.99074,2.68486,0.001052,0.001052,0.001052
18,43636.8,1.67029,2.40435,1.92624,0.18508,0.41588,0.20808,0.09203,1.80907,2.87322,2.29774,0.00103962,0.00103962,0.00103962
19,44623.1,1.65515,2.36766,1.92537,0.21692,0.32754,0.20275,0.09223,1.96539,2.60957,2.43,0.00102725,0.00102725,0.00102725
20,45601.6,1.66372,2.35068,1.93384,0.14201,0.27643,0.149,0.05402,2.14231,2.86187,2.65269,0.00101488,0.00101488,0.00101488
21,46565.2,1.64446,2.33183,1.89141,0.17561,0.38902,0.24931,0.10409,1.95895,2.3179,2.45679,0.0010025,0.0010025,0.0010025
22,47577.1,1.6183,2.25872,1.87953,0.18665,0.39508,0.22858,0.08954,2.09314,2.53697,2.61466,0.000990125,0.000990125,0.000990125
23,48591.8,1.59549,2.27987,1.86701,0.13166,0.40223,0.19705,0.09596,1.80569,2.57567,2.42943,0.00097775,0.00097775,0.00097775
24,49730.3,1.58617,2.29044,1.86496,0.29865,0.34549,0.28637,0.12473,1.78301,2.45161,2.37283,0.000965375,0.000965375,0.000965375
