epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.60681,1.91895,3.53873,2.1887,0.00433,0.63104,0.0349,0.01236,2.23168,3.5497,2.93312,0.000225,0.000225,0.000225
2,14.7153,1.62873,3.17668,1.95816,0.00503,0.69136,0.05517,0.02207,1.93943,3.30048,2.56229,0.000453342,0.000453342,0.000453342
3,22.32,1.65596,2.93649,1.97961,0.5911,0.08984,0.11154,0.04093,2.04417,2.95214,2.91033,0.00067228,0.00067228,0.00067228
4,28.1204,1.68363,2.89855,1.963,0.04683,0.24171,0.04238,0.01263,2.09918,3.48664,2.88574,0.000881812,0.000881812,0.000881812
5,35.5576,1.62352,2.71186,1.87313,0.09474,0.28572,0.1044,0.04523,2.03839,5.71394,2.71722,0.00108194,0.00108194,0.00108194
6,42.0997,1.70465,2.71522,1.94597,0.04146,0.19301,0.03183,0.00796,2.80331,4.04781,3.36351,0.00112625,0.00112625,0.00112625
7,49.2762,1.67623,2.67909,1.91983,0.06795,0.23444,0.05109,0.01466,2.48599,4.26113,3.00067,0.0011015,0.0011015,0.0011015
8,56.0115,1.60284,2.60016,1.87462,0.60118,0.21301,0.15409,0.06481,1.94067,3.70735,2.76793,0.00107675,0.00107675,0.00107675
9,63.0975,1.60678,2.49331,1.85764,0.06181,0.27917,0.07115,0.0226,2.25373,4.61766,3.00967,0.001052,0.001052,0.001052
10,69.6034,1.59244,2.54834,1.84965,0.12438,0.30743,0.13304,0.053,2.04464,2.82286,2.75124,0.00102725,0.00102725,0.00102725
11,76.8997,1.54783,2.43446,1.82054,0.12096,0.28075,0.08444,0.02504,2.1468,3.14495,2.87449,0.0010025,0.0010025,0.0010025
12,83.3366,1.57716,2.41856,1.84053,0.2907,0.37187,0.26177,0.12396,1.76882,2.56,2.3254,0.00097775,0.00097775,0.00097775
13,90.4637,1.53013,2.42326,1.7855,0.16695,0.3746,0.14267,0.05754,1.97374,2.80419,2.40386,0.000953,0.000953,0.000953
14,97.4445,1.56406,2.39703,1.83143,0.25845,0.35602,0.19946,0.09139,1.84038,2.69025,2.36569,0.00092825,0.00092825,0.00092825
15,105.236,1.54253,2.33092,1.77928,0.28673,0.31692,0.16855,0.07258,1.95801,2.79455,2.55495,0.0009035,0.0009035,0.0009035
16,110.923,1.50519,2.25121,1.74314,0.28404,0.32302,0.26784,0.10562,1.91971,2.43184,2.44198,0.00087875,0.00087875,0.00087875
17,119.055,1.43553,2.24049,1.73753,0.25472,0.40485,0.24716,0.10775,1.76812,2.58742,2.27422,0.000854,0.000854,0.000854
18,125.02,1.48216,2.2845,1.76393,0.31754,0.38708,0.32422,0.16491,1.71524,2.38828,2.2226,0.00082925,0.00082925,0.00082925
19,131.841,1.51915,2.26666,1.75112,0.1281,0.34743,0.16948,0.08254,1.71332,2.78738,2.27,0.0008045,0.0008045,0.0008045
20,138.802,1.46863,2.21996,1.73116,0.14819,0.33943,0.22371,0.10165,1.73256,2.59224,2.34207,0.00077975,0.00077975,0.00077975
21,145.936,1.47095,2.16925,1.76101,0.34761,0.43165,0.31796,0.15523,1.78948,2.17698,2.27083,0.000755,0.000755,0.000755
22,151.929,1.43104,2.078,1.70435,0.21749,0.39109,0.2852,0.13524,1.77817,2.24167,2.29988,0.00073025,0.00073025,0.00073025
23,158.873,1.40056,2.05392,1.69717,0.16335,0.32961,0.19611,0.08484,1.85739,2.65001,2.36787,0.0007055,0.0007055,0.0007055
