epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.778,1.90487,3.78226,2.24721,0.78699,0.10366,0.04501,0.01522,2.33533,12.0699,3.09421,0.000225,0.000225,0.000225
2,137.577,1.73481,2.89807,2.00583,0.03573,0.14146,0.0213,0.00464,3.33886,inf,5.32602,0.000457921,0.000457921,0.000457921
3,154.007,1.78546,2.88271,2.09729,0.00251,0.15984,0.00176,0.0006,nan,nan,nan,0.00068614,0.00068614,0.00068614
4,170.466,1.86166,2.93066,2.12807,0,0,0,0,4.65832,inf,177.628,0.000909656,0.000909656,0.000909656
5,186.88,1.86049,2.78358,2.08771,0.0132,0.07806,0.00691,0.00193,2.76568,45.594,4.27064,0.00112847,0.00112847,0.00112847
6,203.403,1.9074,2.82992,2.09437,0.00109,0.1449,0.00064,0.00017,3.22137,inf,4.42255,0.00118812,0.00118812,0.00118812
7,219.071,1.8608,2.77916,2.08355,0.00586,0.2217,0.00544,0.00171,2.46624,58.1699,3.71088,0.00117575,0.00117575,0.00117575
8,234.815,1.76698,2.62472,2.03125,0.30782,0.07388,0.02809,0.00655,3.04158,7.8247,4.14638,0.00116337,0.00116337,0.00116337
9,250.072,1.82204,2.63868,2.05673,0.29944,0.14256,0.03354,0.01043,2.92827,7.066,3.615,0.001151,0.001151,0.001151
10,265.627,1.7747,2.61687,2.01477,0.05538,0.22609,0.03877,0.00947,2.68946,7.90873,3.56409,0.00113863,0.00113863,0.00113863
11,280.673,1.72179,2.51265,1.98506,0.02783,0.1642,0.01428,0.00396,2.68931,4.34384,3.59553,0.00112625,0.00112625,0.00112625
12,295.991,1.76142,2.55449,2.03381,0.09162,0.16571,0.0597,0.02241,2.19894,3.31807,2.84821,0.00111388,0.00111388,0.00111388
13,313.595,1.70349,2.53967,1.95908,0.07055,0.30188,0.07534,0.02942,2.15704,3.27132,2.84713,0.0011015,0.0011015,0.0011015
14,326.851,1.77927,2.55196,2.0221,0.06444,0.13523,0.08047,0.01956,2.32006,4.15531,2.85608,0.00108913,0.00108913,0.00108913
15,343.797,1.75196,2.51211,1.96672,0.08216,0.236,0.08377,0.03452,2.11231,4.3992,2.65964,0.00107675,0.00107675,0.00107675
16,356.7,1.69466,2.4478,1.9301,0.07189,0.28896,0.08748,0.03422,1.99664,3.33364,2.6075,0.00106437,0.00106437,0.00106437
17,371.692,1.62789,2.39968,1.89708,0.07566,0.35043,0.07533,0.028,2.06197,4.32736,2.71668,0.001052,0.001052,0.001052
18,387.092,1.70651,2.48239,1.97011,0.12378,0.21787,0.12677,0.0556,2.34084,2.68115,2.91809,0.00103962,0.00103962,0.00103962
19,399.884,1.69736,2.46824,1.93029,0.11116,0.33994,0.08466,0.03227,2.08931,3.45806,2.66036,0.00102725,0.00102725,0.00102725
