epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.66233,1.94504,3.54136,2.19568,0.0048,0.6531,0.06956,0.02531,2.08664,3.55646,2.78798,0.000225,0.000225,0.000225
2,17.931,1.70306,3.20818,2.01408,0.00767,0.69538,0.04945,0.01655,2.20553,3.46562,2.71453,0.000457921,0.000457921,0.000457921
3,23.8455,1.67654,2.99253,1.98874,0.06507,0.07514,0.04846,0.01464,2.32424,3.11905,3.07005,0.00068614,0.00068614,0.00068614
4,31.4651,1.67323,2.90975,1.96004,0.17865,0.10456,0.05972,0.01889,2.37087,3.14979,3.02798,0.000909656,0.000909656,0.000909656
5,37.3396,1.6323,2.82971,1.93204,0.10866,0.14114,0.04423,0.01586,2.45144,3.70083,3.01431,0.00112847,0.00112847,0.00112847
6,45.5746,1.7501,2.8057,2.00025,0.04015,0.24671,0.02622,0.00658,2.78033,5.79317,3.61888,0.00118812,0.00118812,0.00118812
7,51.965,1.68589,2.75319,1.94416,0.3152,0.1705,0.06236,0.02369,2.1878,3.45945,3.19736,0.00117575,0.00117575,0.00117575
8,58.9182,1.64652,2.64695,1.93544,0.33922,0.30686,0.12387,0.04789,2.04744,3.46591,2.8261,0.00116337,0.00116337,0.00116337
9,64.9961,1.66088,2.58525,1.93346,0.66437,0.09038,0.08419,0.03128,2.05568,3.25902,2.80363,0.001151,0.001151,0.001151
10,72.8937,1.63638,2.59187,1.90166,0.55886,0.07764,0.0482,0.01354,2.28356,3.95982,3.07372,0.00113863,0.00113863,0.00113863
11,79.9097,1.58913,2.4932,1.86973,0.08637,0.23242,0.08664,0.03372,2.17994,3.18028,3.09458,0.00112625,0.00112625,0.00112625
12,87.3333,1.60239,2.48546,1.91355,0.0654,0.2013,0.08106,0.02335,2.08563,3.25261,2.66217,0.00111388,0.00111388,0.00111388
13,94.1274,1.59523,2.51774,1.86973,0.05987,0.09702,0.02618,0.00757,2.51937,3.51135,2.94076,0.0011015,0.0011015,0.0011015
14,102.27,1.60819,2.47669,1.90667,0.12287,0.24101,0.10296,0.04165,1.88022,2.88217,2.60781,0.00108913,0.00108913,0.00108913
15,108.363,1.56576,2.41791,1.84299,0.12799,0.33417,0.10857,0.03679,1.99995,2.70866,2.53395,0.00107675,0.00107675,0.00107675
16,115.822,1.5813,2.35882,1.8297,0.12383,0.30642,0.10849,0.03957,1.94582,2.88232,2.55857,0.00106437,0.00106437,0.00106437
17,122.028,1.50064,2.31212,1.78623,0.11494,0.33568,0.11349,0.04872,1.89058,3.09043,2.53911,0.001052,0.001052,0.001052
18,128.921,1.57338,2.40846,1.84417,0.27824,0.25391,0.19924,0.08518,1.80299,2.62695,2.46917,0.00103962,0.00103962,0.00103962
