epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.7535,1.91957,3.5125,2.20592,0.00573,0.66954,0.06847,0.02532,1.98181,3.56279,2.66273,0.000225,0.000225,0.000225
2,19.4246,1.70218,3.22233,2.01751,0.00599,0.68604,0.10392,0.04322,1.96517,3.37686,2.65799,0.000457921,0.000457921,0.000457921
3,28.2096,1.67741,2.99837,2.00337,0.2883,0.04878,0.06226,0.02398,2.13431,3.10535,2.93685,0.00068614,0.00068614,0.00068614
4,34.778,1.70985,2.9639,1.97932,0.07181,0.10878,0.06728,0.02209,2.08434,3.00335,2.69251,0.000909656,0.000909656,0.000909656
5,43.3756,1.67747,2.82541,1.94364,0.12039,0.2747,0.10409,0.04074,1.95481,3.00069,2.6286,0.00112847,0.00112847,0.00112847
6,50.0157,1.75146,2.80903,1.97733,0.07421,0.37472,0.09972,0.02696,2.24678,3.95022,3.1837,0.00118812,0.00118812,0.00118812
7,58.2144,1.68393,2.78706,1.93814,0.13585,0.29562,0.09776,0.02993,2.42038,3.36168,2.88083,0.00117575,0.00117575,0.00117575
8,64.9224,1.64042,2.6511,1.90951,0.13246,0.22271,0.14191,0.05872,1.86724,2.89618,2.42764,0.00116337,0.00116337,0.00116337
9,73.2977,1.6759,2.59736,1.91949,0.17716,0.31357,0.18259,0.07291,1.90777,3.19326,2.50131,0.001151,0.001151,0.001151
10,79.9182,1.6087,2.6169,1.88531,0.41069,0.24014,0.14737,0.05723,1.99058,3.73608,2.7061,0.00113863,0.00113863,0.00113863
11,88.6007,1.57181,2.49785,1.85607,0.07786,0.37251,0.09099,0.02711,2.26784,3.59571,2.90577,0.00112625,0.00112625,0.00112625
12,95.0072,1.62551,2.54096,1.93132,0.17603,0.23341,0.15115,0.06838,1.75292,2.80306,2.35871,0.00111388,0.00111388,0.00111388
13,103.224,1.58979,2.50571,1.85418,0.06899,0.31059,0.10699,0.04787,1.86133,3.0328,2.41741,0.0011015,0.0011015,0.0011015
14,109.872,1.63156,2.47537,1.89682,0.22948,0.32182,0.18038,0.07393,1.95709,2.62453,2.61746,0.00108913,0.00108913,0.00108913
15,118.355,1.59351,2.38801,1.846,0.20145,0.18808,0.20753,0.09296,1.73968,2.51887,2.27517,0.00107675,0.00107675,0.00107675
16,124.713,1.55958,2.37654,1.81287,0.23787,0.34208,0.22256,0.1123,1.81517,2.50125,2.43484,0.00106437,0.00106437,0.00106437
17,133.244,1.50994,2.32679,1.8079,0.39265,0.2763,0.25564,0.10229,1.89857,2.45611,2.44377,0.001052,0.001052,0.001052
18,139.409,1.54584,2.39554,1.83533,0.20821,0.24649,0.16096,0.06804,2.18404,3.08699,2.71733,0.00103962,0.00103962,0.00103962
19,148.844,1.5739,2.39617,1.83291,0.23813,0.33099,0.23254,0.10616,1.99975,2.59643,2.50554,0.00102725,0.00102725,0.00102725
20,156.016,1.5602,2.30879,1.80153,0.25243,0.33378,0.21243,0.10547,1.80574,2.54949,2.36153,0.00101488,0.00101488,0.00101488
21,163.738,1.55909,2.30679,1.83098,0.14975,0.26444,0.14955,0.06373,2.03419,2.75181,2.51814,0.0010025,0.0010025,0.0010025
22,170.867,1.50605,2.24499,1.78935,0.32787,0.31065,0.25172,0.1113,1.85984,2.45299,2.36032,0.000990125,0.000990125,0.000990125
23,179.842,1.49321,2.25497,1.78612,0.24602,0.33305,0.2167,0.08366,2.03516,2.4207,2.56495,0.00097775,0.00097775,0.00097775
24,187.39,1.49379,2.2575,1.75854,0.32041,0.36709,0.2418,0.10446,1.81415,2.3898,2.35447,0.000965375,0.000965375,0.000965375
25,195.384,1.52438,2.22809,1.77444,0.2419,0.3833,0.2904,0.13309,1.87206,2.29851,2.44571,0.000953,0.000953,0.000953
26,203.045,1.47007,2.16918,1.75556,0.32069,0.32936,0.26923,0.13128,1.82768,2.31486,2.4645,0.000940625,0.000940625,0.000940625
27,211.363,1.48372,2.17547,1.76425,0.30413,0.42911,0.34562,0.16923,1.73715,2.2715,2.31432,0.00092825,0.00092825,0.00092825
28,218.307,1.41657,2.10299,1.72952,0.36154,0.36946,0.30631,0.14779,1.76677,2.35535,2.32273,0.000915875,0.000915875,0.000915875
29,225.884,1.45785,2.08184,1.74402,0.34926,0.40191,0.31583,0.13948,1.82752,2.24457,2.37061,0.0009035,0.0009035,0.0009035
30,232.393,1.45543,2.12286,1.76398,0.3368,0.46464,0.30101,0.13659,1.74723,2.36962,2.31229,0.000891125,0.000891125,0.000891125
