image_path,label,class_name,confidence
1.jpg,0,No Endodontic Treatment,0.31
10.jpg,3,Total Endodontic Failure,0.329
100.jpg,0,No Endodontic Treatment,0.3361
101.jpg,3,Total Endodontic Failure,0.2898
102.jpg,0,No Endodontic Treatment,0.3287
103.jpg,3,Total Endodontic Failure,0.2928
104.jpg,0,No Endodontic Treatment,0.3162
105.jpg,0,No Endodontic Treatment,0.2922
106.jpg,0,No Endodontic Treatment,0.3388
107.jpg,3,Total Endodontic Failure,0.3202
108.jpg,3,Total Endodontic Failure,0.2592
109.jpg,0,No Endodontic Treatment,0.2885
11.jpg,3,Total Endodontic Failure,0.3218
110.jpg,0,No Endodontic Treatment,0.3326
111.jpg,0,No Endodontic Treatment,0.3054
112.jpg,0,No Endodontic Treatment,0.3132
113.jpg,0,No Endodontic Treatment,0.3028
114.jpg,0,No Endodontic Treatment,0.2897
115.jpg,3,Total Endodontic Failure,0.2699
116.jpg,0,No Endodontic Treatment,0.3285
117.jpg,3,Total Endodontic Failure,0.2322
118.jpg,0,No Endodontic Treatment,0.2943
119.jpg,3,Total Endodontic Failure,0.318
12.jpg,3,Total Endodontic Failure,0.3302
120.jpg,3,Total Endodontic Failure,0.2831
121.jpg,3,Total Endodontic Failure,0.2822
122.jpg,3,Total Endodontic Failure,0.2974
123.jpg,0,No Endodontic Treatment,0.2907
124.jpg,3,Total Endodontic Failure,0.3137
125.jpg,3,Total Endodontic Failure,0.2888
127.jpg,3,Total Endodontic Failure,0.3151
128.jpg,0,No Endodontic Treatment,0.3263
129.jpg,3,Total Endodontic Failure,0.2861
13.jpg,0,No Endodontic Treatment,0.3322
130.jpg,3,Total Endodontic Failure,0.246
131.jpg,3,Total Endodontic Failure,0.3368
132.jpg,3,Total Endodontic Failure,0.2827
133.jpg,3,Total Endodontic Failure,0.2865
134.jpg,3,Total Endodontic Failure,0.3254
135.jpg,3,Total Endodontic Failure,0.3172
136.jpg,0,No Endodontic Treatment,0.3267
137.jpg,3,Total Endodontic Failure,0.265
138.jpg,0,No Endodontic Treatment,0.3022
139.jpg,3,Total Endodontic Failure,0.3135
14.jpg,3,Total Endodontic Failure,0.3249
141.jpg,0,No Endodontic Treatment,0.3274
142.jpg,0,No Endodontic Treatment,0.3098
143.jpg,3,Total Endodontic Failure,0.2876
144.jpg,3,Total Endodontic Failure,0.313
145.jpg,0,No Endodontic Treatment,0.2869
146.jpg,3,Total Endodontic Failure,0.3287
147.jpg,3,Total Endodontic Failure,0.3083
148.jpg,0,No Endodontic Treatment,0.3161
149.jpg,0,No Endodontic Treatment,0.3069
15.jpg,0,No Endodontic Treatment,0.3314
150.jpg,0,No Endodontic Treatment,0.2871
151.jpg,0,No Endodontic Treatment,0.3231
152.jpg,3,Total Endodontic Failure,0.2479
153.jpg,0,No Endodontic Treatment,0.3037
154.jpg,0,No Endodontic Treatment,0.3128
155.jpg,0,No Endodontic Treatment,0.2756
156.jpg,3,Total Endodontic Failure,0.241
157.jpg,0,No Endodontic Treatment,0.3035
158.jpg,0,No Endodontic Treatment,0.3269
159.jpg,3,Total Endodontic Failure,0.2614
160.jpg,0,No Endodontic Treatment,0.3127
161.jpg,3,Total Endodontic Failure,0.2878
162.jpg,0,No Endodontic Treatment,0.3065
163.jpg,0,No Endodontic Treatment,0.3277
164.jpg,0,No Endodontic Treatment,0.329
165.jpg,0,No Endodontic Treatment,0.2987
166.jpg,3,Total Endodontic Failure,0.309
167.jpg,3,Total Endodontic Failure,0.2902
168.jpg,0,No Endodontic Treatment,0.3009
169.jpg,0,No Endodontic Treatment,0.3154
170.jpg,0,No Endodontic Treatment,0.2911
171.jpg,0,No Endodontic Treatment,0.2914
172.jpg,0,No Endodontic Treatment,0.3048
173.jpg,0,No Endodontic Treatment,0.3257
176.jpg,0,No Endodontic Treatment,0.3058
178.jpg,3,Total Endodontic Failure,0.2666
179.jpg,3,Total Endodontic Failure,0.2659
18.jpg,0,No Endodontic Treatment,0.3254
180.jpg,0,No Endodontic Treatment,0.3289
182.jpg,0,No Endodontic Treatment,0.3339
183.jpg,0,No Endodontic Treatment,0.3349
184.jpg,3,Total Endodontic Failure,0.286
185.jpg,3,Total Endodontic Failure,0.325
187.jpg,0,No Endodontic Treatment,0.3437
188.jpg,0,No Endodontic Treatment,0.3367
189.jpg,0,No Endodontic Treatment,0.3406
19.jpg,0,No Endodontic Treatment,0.3325
191.jpg,0,No Endodontic Treatment,0.3441
193.jpg,0,No Endodontic Treatment,0.3176
194.jpg,3,Total Endodontic Failure,0.3216
