epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.15578,2.42114,4.98406,1.98386,0,0,0,0,2.28867,4.96501,1.91879,0,0,0
2,4.37958,2.63514,7.24156,2.22603,0,0,0,0,2.28011,4.96335,1.92156,1.23763e-05,1.23763e-05,1.23763e-05
3,6.54469,2.29871,5.18363,1.94214,0,0,0,0,2.23702,4.96782,1.88996,2.4505e-05,2.4505e-05,2.4505e-05
4,8.67247,2.3379,5.03103,1.9084,0,0,0,0,2.11451,4.93324,1.77557,3.63862e-05,3.63862e-05,3.63862e-05
5,10.8819,1.99355,5.46592,1.80876,0,0,0,0,2.0408,4.87913,1.72287,4.802e-05,4.802e-05,4.802e-05
6,13.1633,2.10843,5.59424,1.81927,0,0,0,0,2.05587,4.8738,1.74043,5.94062e-05,5.94062e-05,5.94062e-05
7,15.4875,2.06902,4.81058,1.62718,0,0,0,0,1.92487,4.92188,1.67301,7.0545e-05,7.0545e-05,7.0545e-05
8,17.5803,1.95749,5.22086,1.96546,0,0,0,0,1.80532,4.9214,1.62175,8.14362e-05,8.14362e-05,8.14362e-05
9,19.8596,2.07262,5.2865,1.62567,0,0,0,0,1.74621,4.85083,1.56853,9.208e-05,9.208e-05,9.208e-05
10,22.1381,2.21594,4.89086,1.54155,0,0,0,0,1.63134,4.79742,1.4954,0.000102476,0.000102476,0.000102476
11,24.1481,1.65117,4.66846,1.46094,0,0,0,0,1.5167,4.80973,1.39742,0.000112625,0.000112625,0.000112625
12,27.1484,1.59106,4.465,1.33983,0,0,0,0,1.34936,4.74068,1.26452,0.000122526,0.000122526,0.000122526
13,29.8339,1.54024,4.52364,1.23024,0,0,0,0,1.26928,4.65104,1.19102,0.00013218,0.00013218,0.00013218
