epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.49622,2.64054,5.06723,2.19176,0,0,0,0,2.80042,5.32939,2.3545,0,0,0
2,4.72281,2.89332,7.44281,2.51859,0,0,0,0,2.8335,5.34005,2.35148,1.23763e-05,1.23763e-05,1.23763e-05
3,7.60486,2.7388,5.09207,2.22133,0,0,0,0,2.77904,5.36796,2.30554,2.4505e-05,2.4505e-05,2.4505e-05
4,9.85452,2.49612,5.25094,2.17789,0,0,0,0,2.71421,5.31973,2.21947,3.63862e-05,3.63862e-05,3.63862e-05
5,12.718,2.89194,5.80784,2.35444,0,0,0,0,2.6383,5.38507,2.18264,4.802e-05,4.802e-05,4.802e-05
6,14.8436,2.52265,5.6657,2.20105,0,0,0,0,2.54289,5.29867,2.1108,5.94062e-05,5.94062e-05,5.94062e-05
7,17.3829,2.79329,4.96933,2.06903,0,0,0,0,2.45596,5.1997,2.04342,7.0545e-05,7.0545e-05,7.0545e-05
8,19.4554,2.50809,5.79597,2.28254,0,0,0,0,2.30603,5.14493,1.94586,8.14362e-05,8.14362e-05,8.14362e-05
9,21.6964,2.33114,5.3087,1.79325,0,0,0,0,2.21557,5.10872,1.85272,9.208e-05,9.208e-05,9.208e-05
10,23.6468,2.64494,5.10018,1.86376,0,0,0,0,2.14175,5.12342,1.82057,0.000102476,0.000102476,0.000102476
11,25.6002,2.33352,5.16466,1.8649,0,0,0,0,2.15535,5.01672,1.76565,0.000112625,0.000112625,0.000112625
12,27.9367,2.03268,4.80423,1.60448,0,0,0,0,2.13872,4.88411,1.72118,0.000122526,0.000122526,0.000122526
13,30.1601,1.83973,4.8152,1.43713,0,0,0,0,2.02768,4.81787,1.61383,0.00013218,0.00013218,0.00013218
14,33.3188,1.90138,4.66892,1.4586,0,0,0,0,1.82315,4.74301,1.42956,0.000141586,0.000141586,0.000141586
15,36.7564,1.63167,5.22118,1.55885,0.00108,0.16667,0.0031,0.00031,1.67213,4.7806,1.34851,0.000150745,0.000150745,0.000150745
16,40.0762,1.75615,4.29394,1.4551,0.0021,0.33333,0.01935,0.00245,1.69761,4.71469,1.32477,0.000159656,0.000159656,0.000159656
17,42.7681,1.48222,4.27408,1.33127,0.00198,0.33333,0.01933,0.00308,1.7079,4.68462,1.31133,0.00016832,0.00016832,0.00016832
18,45.1785,1.43169,4.27729,1.33392,0.00198,0.33333,0.01933,0.00308,1.7079,4.68462,1.31133,0.000176736,0.000176736,0.000176736
19,47.6809,1.67536,4.09537,1.37619,0.00187,0.33333,0.02248,0.00684,1.63927,4.57015,1.26953,0.000184905,0.000184905,0.000184905
20,50.3271,1.54151,3.96839,1.25683,0.00187,0.33333,0.02248,0.00684,1.63927,4.57015,1.26953,0.000192826,0.000192826,0.000192826
21,52.7555,1.57595,4.13439,1.23608,0.00179,0.33333,0.03326,0.01278,1.57434,4.5581,1.21267,0.0002005,0.0002005,0.0002005
22,55.1805,1.79155,4.14785,1.442,0.00179,0.33333,0.03326,0.01278,1.57434,4.5581,1.21267,0.000207926,0.000207926,0.000207926
23,57.5086,1.32667,3.94672,1.2166,0.00175,0.33333,0.04159,0.01627,1.56334,4.50172,1.1811,0.000215105,0.000215105,0.000215105
24,60.0343,1.4025,3.54859,1.20795,0.00175,0.33333,0.04159,0.01627,1.56334,4.50172,1.1811,0.000222036,0.000222036,0.000222036
25,62.2329,1.34988,3.84531,1.21807,0.00294,0.43333,0.04523,0.02584,1.49194,4.55393,1.15404,0.00022872,0.00022872,0.00022872
26,64.6189,1.5005,3.46172,1.06408,0.00294,0.43333,0.04523,0.02584,1.49194,4.55393,1.15404,0.000235156,0.000235156,0.000235156
27,68.1023,1.45816,3.71525,1.38035,0.00292,0.43333,0.04263,0.02469,1.42509,4.47248,1.12231,0.000241345,0.000241345,0.000241345
28,73.1096,1.31909,4.02303,1.30824,0.00292,0.43333,0.04263,0.02469,1.42509,4.47248,1.12231,0.000247286,0.000247286,0.000247286
29,76.8685,2.30693,4.84807,1.50498,0.00293,0.43333,0.05195,0.0288,1.38366,4.37655,1.13146,0.00025298,0.00025298,0.00025298
30,79.6275,1.42135,3.56701,1.30181,0.00293,0.43333,0.05195,0.0288,1.38366,4.37655,1.13146,0.000258426,0.000258426,0.000258426
31,82.542,1.44951,3.6174,1.218,0.00292,0.43333,0.04936,0.02237,1.39018,4.23568,1.12344,0.000263625,0.000263625,0.000263625
32,85.2067,1.32981,3.8496,1.30149,0.00292,0.43333,0.04936,0.02237,1.39018,4.23568,1.12344,0.000268576,0.000268576,0.000268576
33,87.7818,1.27658,3.4721,1.33747,0.00287,0.43333,0.06707,0.03135,1.31964,4.15685,1.09657,0.00027328,0.00027328,0.00027328
34,90.4216,1.40207,2.79758,1.30281,0.00287,0.43333,0.06707,0.03135,1.31964,4.15685,1.09657,0.000277736,0.000277736,0.000277736
35,93.7187,1.65441,3.08842,1.26608,0.00283,0.43333,0.09449,0.04492,1.34717,4.0947,1.11366,0.000281945,0.000281945,0.000281945
36,96.2998,1.15486,2.34222,1.04457,0.00283,0.43333,0.09449,0.04492,1.34717,4.0947,1.11366,0.000285906,0.000285906,0.000285906
37,99.4225,1.50966,3.67836,1.33262,0.00278,0.43333,0.18082,0.08781,1.40454,4.05503,1.12418,0.00028962,0.00028962,0.00028962
38,102.123,1.39896,2.32558,1.19961,0.00278,0.43333,0.18082,0.08781,1.40454,4.05503,1.12418,0.000293086,0.000293086,0.000293086
39,104.38,1.52908,2.42656,1.2385,0.00273,0.36667,0.22479,0.09005,1.40638,4.02457,1.11924,0.000296305,0.000296305,0.000296305
40,107.337,1.53464,2.3702,1.24839,0.00273,0.36667,0.22479,0.09005,1.40638,4.02457,1.11924,0.000299276,0.000299276,0.000299276
41,110.446,1.38379,2.1166,1.11577,0.00461,0.63333,0.30593,0.16036,1.38581,3.94351,1.09893,0.000302,0.000302,0.000302
42,113.209,1.35505,2.18187,1.09121,0.00461,0.63333,0.30593,0.16036,1.38581,3.94351,1.09893,0.000304476,0.000304476,0.000304476
43,115.75,1.14838,2.08508,1.01556,0.00461,0.63333,0.23112,0.13873,1.3653,3.98333,1.08873,0.000306705,0.000306705,0.000306705
44,118.61,1.18914,2.10347,1.12476,0.00461,0.63333,0.23112,0.13873,1.3653,3.98333,1.08873,0.000308686,0.000308686,0.000308686
45,121.325,1.27149,2.22539,1.05881,0.00177,0.2,0.03994,0.02199,1.32004,4.11902,1.12442,0.00031042,0.00031042,0.00031042
46,123.761,1.34088,2.67414,1.11175,0.00177,0.2,0.03994,0.02199,1.32004,4.11902,1.12442,0.000311906,0.000311906,0.000311906
47,126.539,1.64234,2.82025,1.01018,0.0018,0.2,0.04966,0.02963,1.34457,4.2082,1.1407,0.000313145,0.000313145,0.000313145
48,129.077,1.07415,1.8683,1.11376,0.0018,0.2,0.04966,0.02963,1.34457,4.2082,1.1407,0.000314136,0.000314136,0.000314136
49,132.005,1.29235,2.26881,1.27338,0.00091,0.1,0.02474,0.01485,1.38336,4.31625,1.19119,0.00031488,0.00031488,0.00031488
50,134.748,1.10493,1.99879,1.02203,0.00091,0.1,0.02474,0.01485,1.38336,4.31625,1.19119,0.000315376,0.000315376,0.000315376
51,137.738,0.9333,1.93938,0.9075,0.00093,0.1,0.00413,0.00188,1.38111,4.50589,1.32138,0.000315625,0.000315625,0.000315625
52,140.746,0.92312,2.07896,0.93847,0.00093,0.1,0.00413,0.00188,1.38111,4.50589,1.32138,0.000315626,0.000315626,0.000315626
53,143.579,1.0283,1.81215,1.04192,0.00093,0.1,0.00413,0.00188,1.38111,4.50589,1.32138,0.00031538,0.00031538,0.00031538
54,146.165,0.99233,2.21205,0.983,0.00092,0.1,0.00333,0.00158,1.25997,4.45625,1.26224,0.000314886,0.000314886,0.000314886
55,148.827,1.14649,1.63083,0.99115,0.00092,0.1,0.00333,0.00158,1.25997,4.45625,1.26224,0.000314145,0.000314145,0.000314145
56,151.234,1.14316,1.88143,1.05739,0.00092,0.1,0.00333,0.00158,1.25997,4.45625,1.26224,0.000313156,0.000313156,0.000313156
